Time(min)	Sim_TC1	Exp_TC1	Exp_Mean_TC1	Exp_Std_TC1	Sim_TC2	Exp_TC2	Exp_Mean_TC2	Exp_Std_TC2	Sim_TC3	Exp_TC3	Exp_Mean_TC3	Exp_Std_TC3	Sim_TC4	Exp_TC4	Exp_Mean_TC4	Exp_Std_TC4	Sim_Moisture	Exp_Moisture	Exp_Mean_Moisture	Exp_Std_Moisture
-36.666667	-274.000000	26.679688	29.054688	2.915912	-274.000000	27.367188	28.286458	2.502642	24.451959	28.093750	26.859375	0.936523	-274.000000	29.778456	28.779386	0.802104	0.474995	0.358798	0.440262	0.046802
-33.333333	-274.000000	26.679688	29.054688	2.915912	-274.000000	27.367188	28.286458	2.502642	24.860323	28.093750	26.859375	0.936523	-274.000000	29.778456	28.779386	0.802104	0.474989	0.358798	0.440262	0.046802
-30.000000	-274.000000	26.679688	29.054688	2.915912	-274.000000	27.367188	28.286458	2.502642	25.133031	28.093750	26.859375	0.936523	25.346273	29.778456	28.779386	0.802104	0.474981	0.358798	0.440262	0.046802
-26.666667	-274.000000	26.679688	29.054688	2.915912	-274.000000	27.367188	28.286458	2.502642	25.334610	28.093750	26.859375	0.936523	25.593283	29.778456	28.779386	0.802104	0.474972	0.358798	0.440262	0.046802
-23.333333	-274.000000	26.679688	29.054688	2.915912	-274.000000	27.367188	28.286458	2.502642	25.503051	28.093750	26.859375	0.936523	25.818241	29.778456	28.779386	0.802104	0.474962	0.358798	0.440262	0.046802
-20.000000	-274.000000	26.679688	29.054688	2.915912	-274.000000	27.367188	28.286458	2.502642	25.655364	28.093750	26.859375	0.936523	26.018320	29.778456	28.779386	0.802104	0.474950	0.358798	0.440262	0.046802
-16.666667	-274.000000	26.679688	29.054688	2.915912	-274.000000	27.367188	28.286458	2.502642	25.799159	28.093750	26.859375	0.936523	26.195690	29.778456	28.779386	0.802104	0.474937	0.358798	0.440262	0.046802
-13.333333	-274.000000	26.679688	29.054688	2.915912	-274.000000	27.367188	28.286458	2.502642	25.937569	28.093750	26.859375	0.936523	26.354874	29.778456	28.779386	0.802104	0.474922	0.358798	0.440262	0.046802
-10.000000	-274.000000	26.679688	29.054688	2.915912	-274.000000	27.367188	28.286458	2.502642	26.071286	28.093750	26.859375	0.936523	26.499661	29.778456	28.779386	0.802104	0.474906	0.358798	0.440262	0.046802
-6.666667	-274.000000	26.679688	29.054688	2.915912	-274.000000	27.367188	28.286458	2.502642	26.201427	28.093750	26.859375	0.936523	26.634375	29.778456	28.779386	0.802104	0.474888	0.358798	0.440262	0.046802
-3.333333	-274.000000	26.679688	29.054688	2.915912	-274.000000	27.367188	28.286458	2.502642	26.328890	28.093750	26.859375	0.936523	26.760537	29.778456	28.779386	0.802104	0.474869	0.358798	0.440262	0.046802
0.000000	-274.000000	26.679688	29.054688	2.915912	26.663924	27.367188	28.286458	2.502642	26.454250	28.093750	26.859375	0.936523	26.878881	29.778456	28.779386	0.802104	0.474847	0.358798	0.440262	0.046802
0.500000	-274.000000	31.768544	45.418546	15.395258	42.369608	28.124361	35.251788	11.729488	26.885681	28.361848	28.504079	0.712962	26.901912	28.715093	28.513362	0.354711	0.474823	0.474851	0.476813	0.001539
1.000000	-274.000000	40.223281	58.069168	24.282188	46.307312	29.949048	39.307477	13.374652	28.464020	28.988269	30.557018	1.854558	27.115477	28.760856	28.530240	0.367362	0.474770	0.474595	0.476324	0.000787
1.500000	-274.000000	43.360270	61.411032	27.182194	44.419142	31.326309	39.972286	11.555730	29.226795	29.477115	31.749551	2.292152	28.095731	29.038625	28.753859	0.370688	0.474689	0.472098	0.474866	0.003292
2.000000	-274.000000	42.184233	59.479170	24.334873	41.376656	32.085028	39.683154	11.354223	29.245878	29.674830	31.846371	2.027706	30.597337	29.754638	29.575130	0.564900	0.474582	0.471260	0.472406	0.001332
2.500000	57.755941	40.728179	57.503171	23.583170	38.915795	32.456007	39.178084	10.615901	29.118447	29.698580	31.751447	1.813275	35.008358	32.452315	31.581081	0.960015	0.474449	0.471543	0.467189	0.002276
3.000000	54.311917	39.957990	53.956893	20.739400	36.821241	32.583866	37.568585	7.484356	29.067494	29.792145	31.732252	1.667184	41.024160	36.344707	35.718306	1.632976	0.474288	0.469542	0.434356	0.004094
3.500000	51.448412	40.070079	49.120182	12.834941	35.125444	32.731953	36.746465	6.043943	29.166026	29.812136	31.725762	1.479116	47.991236	42.518332	41.442044	2.293042	0.474096	0.469923	0.417174	0.001151
4.000000	49.511860	40.846553	47.647043	10.225741	33.917629	33.004546	36.341188	5.294469	29.574959	29.931108	31.908272	1.372383	54.548846	47.992644	47.162695	2.583313	0.473867	0.467147	0.447611	0.001422
4.500000	48.679637	42.281068	48.127810	10.096519	33.433774	33.368833	36.262743	4.839852	30.312645	30.136833	32.292318	1.441291	60.123497	52.875251	52.314580	3.005497	0.473596	0.468056	0.409833	0.001277
